dc_bias,frequency,Z_real,Z_imag,Z_magnitude,Z_phase
-0.2,10.0,-0.041325318763326575,0.02456226141777914,0.04807376266578135,149.27429525242283
-0.2,21.544346900318832,-0.04865130542765325,0.010112108222595442,0.049691088260575306,168.25832870288508
-0.2,46.41588833612777,0.007705446423785778,-0.05025086922422336,0.0508382116363256,-81.28219419367029
-0.2,100.0,0.04288747879092006,-0.028642471707325794,0.051572541362110286,-33.73704410428625
-0.2,215.44346900318823,-0.0482014353888427,-0.019271339611248977,0.05191110578630426,-158.20805394918486
-0.2,464.15888336127773,-0.030516434584243485,-0.021918885871692627,0.03757246781342288,-144.31163691185645
-0.2,1000.0,-0.03082294619663839,-0.02553535675036214,0.0400263470305389,-140.35985465719662
-0.2,2154.4346900318824,-0.03029288264719751,-0.02866523631741994,0.041705569318862094,-136.58135276545514
-0.2,4641.588833612777,-0.027006353895099266,-0.027929561334788987,0.0388510430627169,-134.03722526470338
-0.2,10000.0,-0.014576537992603425,-0.014437964406392148,0.020516585389631914,-135.27364319969197
0.8,10.0,-0.001656574228113638,-0.04809629016872789,0.048124810297472564,-91.97265122288381
0.8,21.544346900318832,-0.019151928338645412,-0.045922599735316226,0.04975622097324791,-112.63847911026794
0.8,46.41588833612777,-0.05016128563419197,0.00856562494244802,0.05088737080189623,170.30954529454056
0.8,100.0,-0.018399787386313274,-0.048324201830015956,0.051708612999863485,-110.84469120913454
0.8,215.44346900318823,-0.05164002030447943,-0.0050047999834426345,0.051881978758730046,-174.46434912396876
0.8,464.15888336127773,-0.031724370378523506,-0.01987297287623223,0.037434886494461306,-147.93589800052834
0.8,1000.0,-0.030198134000141978,-0.026434319645135006,0.040133534010745944,-138.80230758116485
0.8,2154.4346900318824,-0.02790434099649833,-0.030780888295546413,0.04154654414884304,-132.19380470196472
0.8,4641.588833612777,-0.027193106608828357,-0.027602916784400442,0.038747723314352805,-134.5715025608257
0.8,10000.0,-0.014269542329287946,-0.014514163054932881,0.020353888264224088,-134.51307875218689
