DC_Bias,AC_Freq,V_DC,I_DC,V_AC,I_AC
-0.2,10.0,-0.2,-0.3663,-0.2,-0.3663
-0.2,31.622776601683793,-0.2,-0.3663,-0.2,0.219786
-0.2,100.0,-0.2,-0.3663,-0.2,-0.26862
-0.2,316.22776601683796,-0.2,-0.3663,-0.2,-0.17094
-0.2,1000.0,-0.2,-0.3663,-0.2,0.122106
0.04999999999999999,10.0,0.049573,-0.3663,0.049573,-0.26862
0.04999999999999999,31.622776601683793,0.049573,-0.3663,0.049573,-0.561661
0.04999999999999999,100.0,0.049573,-0.3663,0.049573,-0.3663
0.04999999999999999,316.22776601683796,0.049573,-0.3663,0.049573,-0.26862
0.04999999999999999,1000.0,0.049573,-0.3663,0.049573,-0.17094
0.3,10.0,0.299634,-0.46398,0.299634,-0.3663
0.3,31.622776601683793,0.299634,-0.46398,0.299634,-0.3663
0.3,100.0,0.299634,-0.46398,0.299634,-0.3663
0.3,316.22776601683796,0.299634,-0.46398,0.299634,-0.26862
0.3,1000.0,0.299634,-0.46398,0.299634,-0.26862
0.55,10.0,0.549695,-0.3663,0.549695,-0.3663
0.55,31.622776601683793,0.549695,-0.3663,0.549695,-0.3663
0.55,100.0,0.549695,-0.3663,0.549695,-0.17094
0.55,316.22776601683796,0.549695,-0.3663,0.549695,-0.46398
0.55,1000.0,0.549695,-0.3663,0.549695,-0.561661
0.8,10.0,0.799756,-0.3663,0.799756,-0.46398
0.8,31.622776601683793,0.799756,-0.3663,0.799756,-0.46398
0.8,100.0,0.799756,-0.3663,0.799756,-0.3663
0.8,316.22776601683796,0.799756,-0.3663,0.799756,-0.3663
0.8,1000.0,0.799756,-0.3663,0.799756,-0.46398
