Timestamp,CH1_RMS,CH2_RMS,CH1_PP,CH2_PP,Phase_Deg
2025-10-24 16:12:49.453419,0.0009356181777300125,0.0007390452950954456,0.012939453125,0.009033203125,0.5712890625
2025-10-24 16:12:50.566986,0.00833572198885967,0.005736229087440731,0.0130615234375,0.0091552734375,0.9228515625
2025-10-24 16:12:51.657221,0.011494099116961939,0.007890929854349072,0.005126953125,0.003662109375,0.87890625
2025-10-24 16:12:52.740369,0.011492949382295496,0.007895876052337585,0.005126953125,0.003662109375,0.8349609375
2025-10-24 16:12:53.850194,0.011502894843047047,0.007907548786208023,0.0052490234375,0.003662109375,0.8349609375
2025-10-24 16:12:54.935026,0.011499392569088133,0.00789364354643829,0.0052490234375,0.0037841796875,0.81298828125
2025-10-24 16:12:56.015387,0.011499969165186747,0.007873220839436531,0.0052490234375,0.0037841796875,0.87890625
2025-10-24 16:12:57.101703,0.01150037471467375,0.007869300123778261,0.005126953125,0.003662109375,0.8349609375
2025-10-24 16:12:58.196071,0.011489480173226964,0.007873667763916636,0.005126953125,0.003662109375,0.85693359375
2025-10-24 16:12:59.286278,0.011486333215246685,0.007866811572976837,0.0052490234375,0.0037841796875,0.85693359375
